DP_ID,gas,MARKET_DOMAIN_DESCR,MOD_VOLUME_CONSUMPTION,Sum.of.Sales_CR,ZIPcode,TIMESTAMP...Year,TIMESTAMP...Month,x,dateNumber
15,OX,Others,100104.7961,0.148744522,1098,2015,November,2015-November,1
15,OX,Others,4418.990766,0.148744522,1098,2015,December,2015-December,2
15,OX,Others,7778.05161,0.148744522,1098,2016,February,2016-February,4
15,OX,Others,4079.449692,0.148744522,1098,2016,March,2016-March,5
15,OX,Others,6083.407795,0.148744522,1098,2016,April,2016-April,6
15,OX,Others,13718.19805,0.148744522,1098,2016,May,2016-May,7
15,OX,Others,14363.16572,0.148744522,1098,2016,June,2016-June,8
15,OX,Others,11650.9678,0.148744522,1098,2016,July,2016-July,9
15,OX,Others,20267.54542,0.148744522,1098,2016,August,2016-August,10
15,OX,Others,25112.82133,0.148744522,1098,2016,September,2016-September,11
15,OX,Others,58948.79157,0.148744522,1098,2016,October,2016-October,12
15,OX,Others,36690.26321,0.148744522,1098,2016,November,2016-November,13
15,OX,Others,45856.21994,0.148744522,1098,2016,December,2016-December,14
15,OX,Others,30047.31971,0.148744522,1098,2017,January,2017-January,15
15,OX,Others,25368.09674,0.148744522,1098,2017,February,2017-February,16
15,OX,Others,20854.9267,0.148744522,1098,2017,March,2017-March,17
15,OX,Others,13260.27683,0.148744522,1098,2017,April,2017-April,18
15,OX,Others,11113.15457,0.148744522,1098,2017,May,2017-May,19
19,NI,Chemicals,25198.33097,1.311563185,6099,2015,November,2015-November,1
19,NI,Chemicals,8886.312726,1.311563185,6099,2015,December,2015-December,2
19,NI,Chemicals,10758.93384,1.311563185,6099,2016,February,2016-February,4
19,NI,Chemicals,32428.82241,1.311563185,6099,2016,March,2016-March,5
19,NI,Chemicals,38240.16689,1.311563185,6099,2016,April,2016-April,6
19,NI,Chemicals,37673.54353,1.311563185,6099,2016,May,2016-May,7
19,NI,Chemicals,35849.29271,1.311563185,6099,2016,June,2016-June,8
19,NI,Chemicals,54485.67329,1.311563185,6099,2016,July,2016-July,9
19,NI,Chemicals,32926.34537,1.311563185,6099,2016,August,2016-August,10
19,NI,Chemicals,29782.27671,1.311563185,6099,2016,September,2016-September,11
19,NI,Chemicals,25961.02404,1.311563185,6099,2016,October,2016-October,12
19,NI,Chemicals,29885.92733,1.311563185,6099,2016,November,2016-November,13
19,NI,Chemicals,19603.78632,1.311563185,6099,2016,December,2016-December,14
19,NI,Chemicals,39601.44497,1.311563185,6099,2017,January,2017-January,15
19,NI,Chemicals,31661.80786,1.311563185,6099,2017,February,2017-February,16
19,NI,Chemicals,37535.34271,1.311563185,6099,2017,March,2017-March,17
19,NI,Chemicals,24972.88817,1.311563185,6099,2017,April,2017-April,18
19,NI,Chemicals,34128.6925,1.311563185,6099,2017,May,2017-May,19
48,NI,A&F,209372.2318,-0.139912107,4692,2015,December,2015-December,2
48,NI,A&F,195123.2876,-0.139912107,4692,2016,January,2016-January,3
48,NI,A&F,181595.4162,-0.139912107,4692,2016,February,2016-February,4
48,NI,A&F,315095.2983,-0.139912107,4692,2016,March,2016-March,5
48,NI,A&F,150818.7068,-0.139912107,4692,2016,April,2016-April,6
48,NI,A&F,76492.69126,-0.139912107,4692,2017,February,2017-February,16
48,NI,A&F,124083.737,-0.139912107,4692,2017,March,2017-March,17
48,NI,A&F,63800.77368,-0.139912107,4692,2017,May,2017-May,19
50,NI,T&R,537609.9073,-0.216252387,1386,2015,November,2015-November,1
50,NI,T&R,211838.633,-0.216252387,1386,2015,December,2015-December,2
50,NI,T&R,469698.546,-0.216252387,1386,2016,February,2016-February,4
50,NI,T&R,1143785.547,-0.216252387,1386,2016,March,2016-March,5
50,NI,T&R,1140371.609,-0.216252387,1386,2016,April,2016-April,6
50,NI,T&R,718474.0107,-0.216252387,1386,2016,May,2016-May,7
50,NI,T&R,1006130.759,-0.216252387,1386,2016,June,2016-June,8
50,NI,T&R,543192.2367,-0.216252387,1386,2016,July,2016-July,9
58,NI,F&P,34944.31504,-0.549397952,1284,2015,November,2015-November,1
58,NI,F&P,10642.50907,-0.549397952,1284,2015,December,2015-December,2
58,NI,F&P,30900.73246,-0.549397952,1284,2016,January,2016-January,3
58,NI,F&P,21400.81318,-0.549397952,1284,2016,February,2016-February,4
58,NI,F&P,36231.43966,-0.549397952,1284,2016,March,2016-March,5
58,NI,F&P,35152.65529,-0.549397952,1284,2016,April,2016-April,6
58,NI,F&P,42710.64455,-0.549397952,1284,2016,May,2016-May,7
58,NI,F&P,36063.65501,-0.549397952,1284,2016,June,2016-June,8
58,NI,F&P,37492.77844,-0.549397952,1284,2016,July,2016-July,9
58,NI,F&P,36011.66541,-0.549397952,1284,2016,August,2016-August,10
58,NI,F&P,32775.31231,-0.549397952,1284,2016,September,2016-September,11
58,NI,F&P,37693.64738,-0.549397952,1284,2016,October,2016-October,12
58,NI,F&P,36676.89607,-0.549397952,1284,2016,November,2016-November,13
58,NI,F&P,38539.66009,-0.549397952,1284,2016,December,2016-December,14
58,NI,F&P,39712.97102,-0.549397952,1284,2017,January,2017-January,15
58,NI,F&P,35595.15775,-0.549397952,1284,2017,February,2017-February,16
58,NI,F&P,34349.77032,-0.549397952,1284,2017,March,2017-March,17
58,NI,F&P,30798.52562,-0.549397952,1284,2017,April,2017-April,18
58,NI,F&P,31604.95534,-0.549397952,1284,2017,May,2017-May,19
66,AR,Others,40705.91595,2.20539035,5288,2015,November,2015-November,1
66,AR,Others,84946.89367,2.20539035,5288,2015,December,2015-December,2
66,AR,Others,81696.57118,2.20539035,5288,2016,January,2016-January,3
66,AR,Others,57642.17634,2.20539035,5288,2016,February,2016-February,4
66,AR,Others,86781.26723,2.20539035,5288,2016,March,2016-March,5
66,AR,Others,145913.0352,2.20539035,5288,2016,April,2016-April,6
66,AR,Others,493797.9632,2.20539035,5288,2016,May,2016-May,7
66,AR,Others,445294.1807,2.20539035,5288,2016,June,2016-June,8
66,AR,Others,509256.2426,2.20539035,5288,2016,July,2016-July,9
66,AR,Others,495732.7587,2.20539035,5288,2016,August,2016-August,10
66,AR,Others,450536.2044,2.20539035,5288,2016,September,2016-September,11
66,AR,Others,492485.7836,2.20539035,5288,2016,October,2016-October,12
66,AR,Others,469782.6214,2.20539035,5288,2016,November,2016-November,13
66,AR,Others,461496.698,2.20539035,5288,2016,December,2016-December,14
66,AR,Others,453425.008,2.20539035,5288,2017,January,2017-January,15
66,AR,Others,403615.7407,2.20539035,5288,2017,February,2017-February,16
66,AR,Others,450556.2888,2.20539035,5288,2017,March,2017-March,17
66,AR,Others,429604.931,2.20539035,5288,2017,April,2017-April,18
66,AR,Others,444296.6564,2.20539035,5288,2017,May,2017-May,19
103,NI,T&R,272452.9022,-0.248480234,5690,2015,November,2015-November,1
103,NI,T&R,110323.1966,-0.248480234,5690,2015,December,2015-December,2
103,NI,T&R,262812.1502,-0.248480234,5690,2016,February,2016-February,4
103,NI,T&R,44705.93526,-0.248480234,5690,2016,March,2016-March,5
103,NI,T&R,7963.63974,-0.248480234,5690,2016,May,2016-May,7
103,NI,T&R,144874.4378,-0.248480234,5690,2017,February,2017-February,16
103,NI,T&R,557003.3283,-0.248480234,5690,2017,March,2017-March,17
103,NI,T&R,532323.8703,-0.248480234,5690,2017,April,2017-April,18
103,NI,T&R,543863.0218,-0.248480234,5690,2017,May,2017-May,19
133,NI,F&P,23308.12423,-0.483590582,6373,2015,November,2015-November,1
133,NI,F&P,9672.31941,-0.483590582,6373,2015,December,2015-December,2
133,NI,F&P,2709.621395,-0.483590582,6373,2016,January,2016-January,3
133,NI,F&P,61400.49572,-0.483590582,6373,2016,February,2016-February,4
133,NI,F&P,61012.65313,-0.483590582,6373,2016,March,2016-March,5
133,NI,F&P,64075.81811,-0.483590582,6373,2016,April,2016-April,6
133,NI,F&P,71574.10828,-0.483590582,6373,2016,May,2016-May,7
133,NI,F&P,68711.46056,-0.483590582,6373,2016,June,2016-June,8
133,NI,F&P,73903.80224,-0.483590582,6373,2016,July,2016-July,9
133,NI,F&P,74682.12581,-0.483590582,6373,2016,August,2016-August,10
133,NI,F&P,59949.38397,-0.483590582,6373,2016,September,2016-September,11
133,NI,F&P,61690.71807,-0.483590582,6373,2016,October,2016-October,12
133,NI,F&P,58208.04987,-0.483590582,6373,2016,November,2016-November,13
133,NI,F&P,65194.49335,-0.483590582,6373,2016,December,2016-December,14
133,NI,F&P,67426.56706,-0.483590582,6373,2017,January,2017-January,15
133,NI,F&P,59938.83043,-0.483590582,6373,2017,February,2017-February,16
133,NI,F&P,58118.34478,-0.483590582,6373,2017,March,2017-March,17
133,NI,F&P,71423.72034,-0.483590582,6373,2017,April,2017-April,18
133,NI,F&P,80861.22348,-0.483590582,6373,2017,May,2017-May,19
144,NI,Others,87097.50143,0.44793793,1098,2015,November,2015-November,1
144,NI,Others,47676.04176,0.44793793,1098,2015,December,2015-December,2
144,NI,Others,90007.95368,0.44793793,1098,2016,February,2016-February,4
144,NI,Others,238076.5367,0.44793793,1098,2016,March,2016-March,5
144,NI,Others,127476.7181,0.44793793,1098,2016,April,2016-April,6
145,NI,T&R,157372.0884,1.528726399,3492,2015,November,2015-November,1
145,NI,T&R,77694.71497,1.528726399,3492,2015,December,2015-December,2
145,NI,T&R,85895.14525,1.528726399,3492,2016,February,2016-February,4
145,NI,T&R,19064.54642,1.528726399,3492,2016,May,2016-May,7
145,NI,T&R,234538.1219,1.528726399,3492,2017,February,2017-February,16
145,NI,T&R,961247.4583,1.528726399,3492,2017,March,2017-March,17
145,NI,T&R,965621.0211,1.528726399,3492,2017,April,2017-April,18
145,NI,T&R,1048462.815,1.528726399,3492,2017,May,2017-May,19
148,NI,T&R,414506.5575,-0.388741622,5287,2015,November,2015-November,1
148,NI,T&R,158653.5083,-0.388741622,5287,2015,December,2015-December,2
148,NI,T&R,108385.9297,-0.388741622,5287,2016,January,2016-January,3
148,NI,T&R,289942.4881,-0.388741622,5287,2016,February,2016-February,4
148,NI,T&R,387958.012,-0.388741622,5287,2016,March,2016-March,5
148,NI,T&R,229792.9432,-0.388741622,5287,2016,April,2016-April,6
148,NI,T&R,330619.9729,-0.388741622,5287,2016,May,2016-May,7
148,NI,T&R,464172.4531,-0.388741622,5287,2016,June,2016-June,8
148,NI,T&R,480749.6152,-0.388741622,5287,2016,July,2016-July,9
148,NI,T&R,478640.9859,-0.388741622,5287,2016,August,2016-August,10
148,NI,T&R,292021.3345,-0.388741622,5287,2016,September,2016-September,11
148,NI,T&R,310772.6483,-0.388741622,5287,2016,October,2016-October,12
148,NI,T&R,324026.0388,-0.388741622,5287,2016,November,2016-November,13
148,NI,T&R,464357.1071,-0.388741622,5287,2016,December,2016-December,14
148,NI,T&R,510407.427,-0.388741622,5287,2017,January,2017-January,15
148,NI,T&R,361040.227,-0.388741622,5287,2017,February,2017-February,16
148,NI,T&R,406578.2811,-0.388741622,5287,2017,March,2017-March,17
148,NI,T&R,428992.8916,-0.388741622,5287,2017,April,2017-April,18
