DP_ID,gas,MARKET_DOMAIN_DESCR,MOD_VOLUME_CONSUMPTION,Sum of Sales_CR,ZIPcode,TIMESTAMP - Year,TIMESTAMP - Month
15.0,OX,Others,4418.990766,0.148744522,1098.0,2015.0,December
15.0,OX,Others,45856.21994,0.148744522,1098.0,2016.0,December
19.0,NI,Chemicals,8886.312726,1.311563185,6099.0,2015.0,December
19.0,NI,Chemicals,19603.78632,1.311563185,6099.0,2016.0,December
48.0,NI,A&F,209372.2318,-0.139912107,4692.0,2015.0,December
50.0,NI,T&R,211838.633,-0.216252387,1386.0,2015.0,December
58.0,NI,F&P,10642.50907,-0.549397952,1284.0,2015.0,December
58.0,NI,F&P,38539.66009,-0.549397952,1284.0,2016.0,December
66.0,AR,Others,84946.89367,2.20539035,5288.0,2015.0,December
66.0,AR,Others,461496.698,2.20539035,5288.0,2016.0,December
103.0,NI,T&R,110323.1966,-0.248480234,5690.0,2015.0,December
133.0,NI,F&P,9672.31941,-0.483590582,6373.0,2015.0,December
133.0,NI,F&P,65194.49335,-0.483590582,6373.0,2016.0,December
144.0,NI,Others,47676.04176,0.44793793,1098.0,2015.0,December
145.0,NI,T&R,77694.71497,1.528726399,3492.0,2015.0,December
148.0,NI,T&R,158653.5083,-0.388741622,5287.0,2015.0,December
148.0,NI,T&R,464357.1071,-0.388741622,5287.0,2016.0,December
178.0,NI,T&R,4217.311392,0.398252362,3492.0,2015.0,December
178.0,NI,T&R,48760.3221,0.398252362,3492.0,2016.0,December
219.0,NI,A&F,30438.51698,-0.139912107,4692.0,2015.0,December
228.0,NI,T&R,65109.627,-0.506495477,6291.0,2015.0,December
240.0,NI,T&R,13902.62475,-0.557098696,0.0,2015.0,December
244.0,NI,Others,26894.57775,-0.510435148,4988.0,2015.0,December
244.0,NI,Others,174501.2767,-0.510435148,4988.0,2016.0,December
270.0,NI,T&R,8252.168688,-0.388741622,5287.0,2015.0,December
270.0,NI,T&R,26239.39147,-0.388741622,5287.0,2016.0,December
272.0,OX,MD,5332.50657,-0.475529975,5746.0,2015.0,December
272.0,OX,MD,27784.37007,-0.475529975,5746.0,2016.0,December
278.0,NI,T&R,8653.680802,-0.471584353,1399.0,2015.0,December
288.0,NI,F&P,75285.29375,-0.551440209,7389.0,2015.0,December
288.0,NI,F&P,115663.8549,-0.551440209,7389.0,2016.0,December
343.0,NI,T&R,205635.6428,0.544737119,3492.0,2015.0,December
345.0,NI,T&R,152606.1109,1.528726399,3492.0,2015.0,December
345.0,NI,T&R,443107.3802,1.528726399,3492.0,2016.0,December
348.0,NI,T&R,677045.2802,0.84524383,7687.0,2015.0,December
348.0,NI,T&R,910953.5169,0.84524383,7687.0,2016.0,December
361.0,NI,T&R,622768.1351,-0.072595609,,2015.0,December
370.0,CB,T&R,1315.181935,-0.595282627,1098.0,2015.0,December
370.0,CB,T&R,382064.8452,-0.595282627,1098.0,2016.0,December
378.0,OX,F&P,29657.39357,-0.483590582,6373.0,2015.0,December
378.0,OX,F&P,43968.31032,-0.483590582,6373.0,2016.0,December
403.0,NI,T&R,667970.7738,-0.04274655,0.0,2015.0,December
440.0,NI,F&P,389381.6534,0.39379728,6374.0,2015.0,December
440.0,NI,F&P,2421271.527,0.39379728,6374.0,2016.0,December
441.0,CB,F&P,1846.32,-0.596043488,6374.0,2015.0,December
441.0,CB,F&P,53022.04,-0.596043488,6374.0,2016.0,December
455.0,NI,Others,20530.12133,0.148744522,1098.0,2015.0,December
460.0,CB,F&P,9313.24,-0.600047373,6373.0,2015.0,December
460.0,CB,F&P,12180.06,-0.600047373,6373.0,2016.0,December
518.0,NI,M&E,42108.23838,-0.570296751,6375.0,2015.0,December
520.0,NI,T&R,350112.5381,0.922319133,1190.0,2015.0,December
532.0,NI,T&R,152842.8645,4.276620451,7574.0,2015.0,December
540.0,NI,T&R,117482.4912,1.904847873,7684.0,2015.0,December
560.0,NI,A&F,265669.1151,-0.409902106,4987.0,2016.0,December
560.0,NI,A&F,293886.0847,-0.409902106,4987.0,2015.0,December
562.0,NI,A&F,208513.0458,-0.431207084,6277.0,2015.0,December
590.0,NI,T&R,32163.5538,-0.504896735,7382.0,2015.0,December
612.0,AR,A&F,108746.4624,-0.337577921,7975.0,2015.0,December
612.0,AR,A&F,135521.8134,-0.337577921,7975.0,2016.0,December
622.0,NI,M&E,318099.1523,0.126202049,986.0,2015.0,December
644.0,NI,A&F,61076.43516,0.110949466,4692.0,2015.0,December
644.0,NI,A&F,498283.617,0.110949466,4692.0,2016.0,December
658.0,NI,T&R,201270.611,-0.218889833,7684.0,2015.0,December
671.0,NI,T&R,164445.7531,4.276620451,7574.0,2015.0,December
747.0,NI,M&E,91916.91689,-0.319886009,897.0,2015.0,December
766.0,CB,T&R,2997.250769,-0.599049996,7392.0,2015.0,December
766.0,CB,T&R,3687.93,-0.599049996,7392.0,2016.0,December
772.0,NI,M&E,32492.46833,-0.563647915,791.0,2015.0,December
780.0,OX,Others,381.5120933,-0.592797347,1098.0,2015.0,December
780.0,OX,Others,4689.755992,-0.592797347,1098.0,2016.0,December
873.0,CB,M&E,93406.36563,-0.548283962,6099.0,2015.0,December
873.0,CB,M&E,693917.3352,-0.548283962,6099.0,2016.0,December
920.0,NI,F&P,2964.621266,-0.51263139,1174.0,2015.0,December
920.0,NI,F&P,34908.87197,-0.51263139,1174.0,2016.0,December
925.0,NI,T&R,120663.0125,0.149272784,5696.0,2015.0,December
925.0,NI,T&R,860145.7578,0.149272784,5696.0,2016.0,December
955.0,NI,T&R,95958.27173,-0.119736566,1182.0,2015.0,December
